Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-09-21,31362521,1013858,21514153,8834510,274606,3.23,68.6,4.71,187
2020-09-22,31647372,1020067,21733546,8893759,284851,3.22,68.67,4.69,187
2020-09-23,31923374,1025684,21996959,8900731,276002,3.21,68.91,4.66,187
2020-09-24,32277004,1032270,22252629,8992105,353630,3.2,68.94,4.64,187
2020-09-25,32608259,1038190,22491837,9078232,331255,3.18,68.98,4.62,187
2020-09-26,32897181,1043770,22753980,9099431,288922,3.17,69.17,4.59,187
2020-09-27,33149176,1047612,22967859,9133705,252087,3.16,69.29,4.56,187
2020-09-28,33403328,1051618,23190401,9161309,254152,3.15,69.43,4.53,187
2020-09-29,33686197,1057721,23431685,9196791,282869,3.14,69.56,4.51,187
2020-09-30,34012248,1064226,23679903,9268119,326051,3.13,69.62,4.49,187
2020-10-01,34330972,1073081,23901445,9356446,318724,3.13,69.62,4.49,187
2020-10-02,34629139,1078109,24073730,9477300,298167,3.11,69.52,4.48,187
2020-10-03,34963369,1083563,24329331,9550475,334230,3.1,69.59,4.45,187
2020-10-04,35223667,1087589,24551490,9584588,260298,3.09,69.7,4.43,187
2020-10-05,35523108,1094590,24788958,9639560,299441,3.08,69.78,4.42,187
2020-10-06,35849212,1100452,25021584,9727176,326104,3.07,69.8,4.4,187
2020-10-07,36200457,1106356,25276775,9817326,351245,3.06,69.82,4.38,187
2020-10-08,36562098,1112712,25496281,9953105,361641,3.04,69.73,4.36,187
2020-10-09,36923355,1118924,25703071,10101360,361257,3.03,69.61,4.35,187
2020-10-10,37281082,1123845,25898476,10258761,357727,3.01,69.47,4.34,187
2020-10-11,37569099,1127977,26121116,10320006,288018,3.0,69.53,4.32,187
2020-10-12,37860692,1132047,26321235,10407410,291593,2.99,69.52,4.3,188
2020-10-13,38178943,1137400,26513680,10527863,318251,2.98,69.45,4.29,188
2020-10-14,38560722,1143603,26725965,10691154,381779,2.97,69.31,4.28,188
2020-10-15,38968102,1149691,26933292,10885119,407380,2.95,69.12,4.27,188
2020-10-16,39379915,1156016,27136306,11087593,411813,2.94,68.91,4.26,188
2020-10-17,39754653,1161753,27334589,11258311,374745,2.92,68.76,4.25,188
2020-10-18,40071406,1165383,27536100,11369923,316753,2.91,68.72,4.23,188
2020-10-19,40457631,1170292,27738631,11548708,386225,2.89,68.56,4.22,188
2020-10-20,40846589,1176942,27950078,11719569,388958,2.88,68.43,4.21,188
2020-10-21,41291344,1183799,28161300,11946245,444755,2.87,68.2,4.2,188
2020-10-22,41763786,1189714,28388093,12185979,472442,2.85,67.97,4.19,188
2020-10-23,42261455,1196779,28594827,12469849,497669,2.83,67.66,4.19,188
2020-10-24,42719223,1202682,28806408,12710133,457768,2.82,67.43,4.18,188
2020-10-25,43080496,1206941,29003666,12869889,361273,2.8,67.32,4.16,188
2020-10-26,43565601,1212530,29242801,13110270,485105,2.78,67.12,4.15,188
2020-10-27,44036316,1220012,29832506,12983798,470716,2.77,67.75,4.09,188
2020-10-28,44548434,1227223,30098468,13222743,512118,2.75,67.56,4.08,189
2020-10-29,45099125,1234388,30345219,13519518,550691,2.74,67.29,4.07,189
2020-10-30,45671261,1242016,30600993,13828252,572136,2.72,67.0,4.06,189
2020-10-31,46149536,1248726,30845322,14055488,478275,2.71,66.84,4.05,189
2020-11-01,46613727,1253847,31103269,14256611,464191,2.69,66.73,4.03,189
2020-11-02,47175018,1260032,31383406,14531580,561291,2.67,66.53,4.01,189
2020-11-03,47730993,1269470,31634979,14826544,555975,2.66,66.28,4.01,189
2020-11-04,48242377,1279621,31914298,15048458,557505,2.65,66.15,4.01,189
2020-11-05,48839702,1287726,32217953,15334023,597326,2.64,65.97,4.0,189
2020-11-06,49484657,1297465,32506314,15680878,644955,2.62,65.69,3.99,189
2020-11-07,50086533,1305174,32805330,15976029,601876,2.61,65.5,3.98,189
2020-11-08,50571255,1311207,33058570,16201478,484722,2.59,65.37,3.97,189
2020-11-09,51070355,1318426,33315623,16436306,499100,2.58,65.23,3.96,189
2020-11-10,51630682,1328463,33572983,16729236,560327,2.57,65.03,3.96,190
2020-11-11,52282362,1338978,33953207,16990177,651680,2.56,64.94,3.94,190
2020-11-12,52928805,1348746,34179446,17400613,646443,2.55,64.58,3.95,190
2020-11-13,53581886,1358385,34481578,17741923,653081,2.54,64.35,3.94,190
2020-11-14,54181445,1367624,34759397,18054424,599559,2.52,64.15,3.93,190
2020-11-15,54656951,1374220,34990157,18292574,475506,2.51,64.02,3.93,190
2020-11-16,55187492,1382114,35380887,18424491,530541,2.5,64.11,3.91,190
2020-11-17,55799241,1393203,35814478,18591560,611749,2.5,64.18,3.89,190
2020-11-18,56426686,1404651,36177588,18844447,627445,2.49,64.11,3.88,191
2020-11-19,57081149,1415765,36551887,19113497,654463,2.48,64.03,3.87,191
2020-11-20,57753895,1427564,36907311,19419020,672746,2.47,63.9,3.87,191
2020-11-21,58344854,1436604,37246581,19661669,590959,2.46,63.84,3.86,191
2020-11-22,58833046,1444041,37520305,19868700,488194,2.45,63.77,3.85,191
2020-11-23,59355592,1452518,37931518,19971556,522556,2.45,63.91,3.83,191
2020-11-24,59948735,1465246,38303697,20179792,593143,2.44,63.89,3.83,191
2020-11-25,60587755,1477391,38741107,20369257,639020,2.44,63.94,3.81,191
2020-11-26,61176972,1488384,39107983,20580605,589217,2.43,63.93,3.81,191
2020-11-27,61859794,1499792,39489609,20870393,682822,2.42,63.84,3.8,191
2020-11-28,62449846,1509082,39849315,21091449,590052,2.42,63.81,3.79,191
2020-11-29,62939465,1516414,40167598,21255453,489619,2.41,63.82,3.78,191
2020-11-30,63443317,1525280,40569854,21348183,503852,2.4,63.95,3.76,191
2020-12-01,64063276,1538015,41046058,21479203,619959,2.4,64.07,3.75,191
2020-12-02,64718256,1550697,41508984,21658575,654980,2.4,64.14,3.74,191
2020-12-03,65414870,1563270,41935968,21915632,696614,2.39,64.11,3.73,191
2020-12-04,66102685,1575729,42426585,22100371,687815,2.38,64.18,3.71,191
2020-12-05,66751994,1586073,42862533,22303388,649309,2.38,64.21,3.7,191
2020-12-06,67289317,1593755,43178577,22516985,537323,2.37,64.17,3.69,191
2020-12-07,67804742,1602417,43591716,22610609,515425,2.36,64.29,3.68,191
2020-12-08,68457086,1614743,44032487,22809856,652344,2.36,64.32,3.67,191
2020-12-09,69129084,1627403,44458967,23042714,671998,2.35,64.31,3.66,191
2020-12-10,70632655,1640067,44950193,24042395,1503571,2.32,63.64,3.65,191
2020-12-11,71341235,1653142,45428333,24259760,708580,2.32,63.68,3.64,191
2020-12-12,71983025,1663872,46933276,23385877,641790,2.31,65.2,3.55,191
2020-12-13,72513174,1671644,47328395,23513135,530149,2.31,65.27,3.53,191
2020-12-14,73044935,1680727,41338398,30025810,531761,2.3,56.59,4.07,191
2020-12-15,73697450,1694495,41696562,30306393,652515,2.3,56.58,4.06,191
2020-12-16,74429412,1708355,42058782,30662275,731996,2.3,56.51,4.06,191
2020-12-17,75170933,1721747,42434191,31014995,741521,2.29,56.45,4.06,191
2020-12-18,75892536,1734656,42751919,31405961,721603,2.29,56.33,4.06,191
2020-12-19,76517542,1745652,43103505,31668385,625006,2.28,56.33,4.05,191
2020-12-20,77049694,1753724,43380334,31915636,532152,2.28,56.3,4.04,191
2020-12-21,77590008,1763239,43723554,32103215,540314,2.27,56.35,4.03,191
2020-12-22,78251654,1777417,44086739,32387498,661646,2.27,56.34,4.03,191
2020-12-23,78947929,1791231,44410879,32745819,696275,2.27,56.25,4.03,191
2020-12-24,79630099,1803060,44725551,33101488,682170,2.26,56.17,4.03,191
2020-12-25,80110499,1811768,45017157,33281574,480400,2.26,56.19,4.02,191
2020-12-26,80618200,1819320,45425321,33373559,507701,2.26,56.35,4.01,191
2020-12-27,81051333,1827041,45717709,33506583,433133,2.25,56.41,4.0,191
2020-12-28,81539478,1836611,46016135,33686732,488145,2.25,56.43,3.99,191
2020-12-29,82211894,1851755,46369230,33990909,672416,2.25,56.4,3.99,191
2020-12-30,82952593,1867361,46757475,34327757,740699,2.25,56.37,3.99,191
2020-12-31,83730078,1880668,47055807,34793603,777485,2.25,56.2,4.0,191
2021-01-01,84296697,1890332,47359111,35047254,566619,2.24,56.18,3.99,191
2021-01-02,84902338,1898815,47614296,35389227,605641,2.24,56.08,3.99,191
2021-01-03,85425301,1906416,47882778,35636107,522963,2.23,56.05,3.98,191
2021-01-04,85975609,1916419,48173186,35886004,550308,2.23,56.03,3.98,191
2021-01-05,86719414,1931825,48488547,36299042,743805,2.23,55.91,3.98,191
2021-01-06,87510749,1946930,48801672,36762147,791335,2.22,55.77,3.99,191
2021-01-07,88403499,1962084,49125603,37315812,892750,2.22,55.57,3.99,191
2021-01-08,89220490,1977355,49422866,37820269,816991,2.22,55.39,4.0,191
2021-01-09,89983351,1990333,49753111,38239907,762861,2.21,55.29,4.0,191
2021-01-10,90574020,1999100,50023661,38551259,590669,2.21,55.23,4.0,191
2021-01-11,91190618,2009143,50313949,38867526,616598,2.2,55.17,3.99,191
2021-01-12,91891692,2026274,50657506,39207912,701074,2.21,55.13,4.0,191
2021-01-13,92642869,2043165,51023567,39576137,751177,2.21,55.08,4.0,191
2021-01-14,93402981,2058638,51396412,39947931,760112,2.2,55.03,4.01,191
2021-01-15,94176478,2073701,51717034,40385743,773497,2.2,54.92,4.01,191
2021-01-16,94824441,2087459,52034089,40702893,647963,2.2,54.87,4.01,191
